Fabricante,Descripción,Datos,Precio_£,Ciudad
Vauxhall Mokka,1.6 SE CDTI S/S 5d 134 BHP,"70,592 miles
2016 reg
Manual
Diesel","£6,990",Peterborough
Vauxhall Insignia,1.6 TECH LINE NAV 5d 135 BHP,"105,745 miles
2019 reg
Manual
Diesel","£6,990",Peterborough
Ford Focus,1.5 TITANIUM TDCI 5d 118 BHP,"85,443 miles
2018 reg
Manual
Diesel","£6,990",Peterborough
Toyota AYGO,X-Claim,"45,600 miles
2017 reg
Manual
Petrol","£6,990",Peterborough
Citroen C1,Flair,"20,508 miles
2014 reg
Manual
Petrol","£6,995",Llandudno
Dacia Sandero Stepway,Ambiance,"77,064 miles
2015 reg
Manual
Diesel","£6,995",Doncaster
Mini Countryman,Cooper S,"62,212 miles
2010 reg
Manual
Petrol","£6,995",York
Vauxhall Corsa,Limited Edition,"31,235 miles
2014 reg
Manual
Petrol","£6,995",Peterborough
SEAT Leon,Leon 1.2 TSI SE Hatchback 5dr Petrol Manual Euro 6 (s/s) (110 ps),"53,945 miles
2014 reg
Manual
Petrol","£6,995",Hemel
Fiat 500,Lounge,"52,247 miles
2018 reg
Manual
Petrol","£6,995",Lincoln
Fiat Tipo,Lounge,"42,947 miles
2017 reg
Manual
Petrol","£6,995",Sheffield
Fiat 500,Pop,"32,750 miles
2016 reg
Manual
Petrol","£6,995",Llandudno
Hyundai i10,SE,"48,755 miles
2017 reg
Manual
Petrol","£6,995",Wolverhampton
Renault Zoe,Dynamique Nav,"30,505 miles
2019 reg
Automatic
Electric","£6,995",Doncaster
Vauxhall Corsa,SRi,"50,294 miles
2018 reg
Manual
Petrol","£6,995",Llandudno
Volkswagen up!,High up!,"21,829 miles
2013 reg
Manual
Petrol","£6,995",Wolverhampton
Toyota Yaris,Sport,"57,281 miles
2015 reg
Manual
Petrol","£6,995",Stockport
Citroen C1,Flair,"38,324 miles
2019 reg
Manual
Petrol","£6,995",Stockport
Ford EcoSport,Zetec,"70,664 miles
2015 reg
Manual
Petrol","£6,995",York
Nissan Juke,Tekna,"61,993 miles
2015 reg
Manual
Diesel","£6,995",Stockport
Vauxhall Corsa,Energy,"38,566 miles
2018 reg
Manual
Petrol","£6,995",Liverpool
Vauxhall Corsa,1.2 Limited Edition,"43,618 miles
2015 reg
Manual
Petrol","£6,998+ £159 admin fee",Sheffield
Fiat 500X,1.4 Multiair Lounge,"74,468 miles
2016 reg
Manual
Petrol","£6,998+ £159 admin fee",Sheffield
Peugeot 108,1.2 PureTech Collection,"53,071 miles
2018 reg
Manual
Petrol","£6,998+ £159 admin fee",Doncaster
Vauxhall Astra,Tech Line,"45,391 miles
2016 reg
Manual
Petrol","£6,999",Luton
Ford Fiesta,Zetec,"51,636 miles
2013 reg
Manual
Petrol","£6,999",York
Peugeot 2008,GT Line,"92,930 miles
2018 reg
Manual
Diesel","£7,000",Doncaster
Fiat 500,500 1.2 Lounge Hatchback 3dr Petrol Manual Euro 6 (s/s) (69 bhp),"41,382 miles
2017 reg
Manual
Petrol","£7,000",Reading
Vauxhall Astra,Astra 1.4i Energy Hatchback 5dr Petrol Manual Euro 6 (100 ps),"52,418 miles
2016 reg
Manual
Petrol","£7,000",Guilford
Peugeot 208,208 1.2 PureTech XS Lime Hatchback 5dr Petrol Manual Euro 6 (82 ps),"40,867 miles
2016 reg
Manual
Petrol","£7,000",Torquay
Vauxhall Crossland X,Crossland 1.6 Turbo D ecoTEC SE SUV 5dr Diesel Manual Euro 6 (s/s) (99 ps),"91,000 miles
2018 reg
Manual
Diesel","£7,000",Exeter
Vauxhall Insignia,Insignia 1.6 CDTi ecoFLEX Design Nav Hatchback 5dr Diesel Manual Euro 6 (s/s) (136 ps),"58,521 miles
2016 reg
Manual
Diesel","£7,000",Portsmouth
Vauxhall Astra,Astra 1.6 CDTi ecoFLEX Design Sports Tourer 5dr Diesel Manual Euro 6 (s/s) (110 ps),"67,130 miles
2017 reg
Manual
Diesel","£7,000",Oxford
DS DS 3,Prestige,"40,320 miles
2016 reg
Manual
Petrol","£7,000",Darlington
Skoda Citigo,Colour Edition,"38,158 miles
2018 reg
Manual
Petrol","£7,000",Derby
Peugeot 2008,2008 ALLURE S/S,"72,481 miles
2017 reg
Manual
Petrol","£7,050",Watford
Toyota Yaris,1.3L VVT-I ICON 5d 99 BHP,"47,684 miles
2015 reg
Manual
Petrol","£7,050",Watford
